id,Date,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct,Year,Month,DayOfWeek,DayOfYear,Quarter,created_at
143,2025-05-23 00:00:00,164.0,54648.72000000001,333.2239024390244,161.20566371681417,48.37758112094395,2025,5,4,143,2,2025-08-17 08:40:34
144,2025-05-24 00:00:00,162.0,54104.3,333.97716049382717,159.59970501474928,47.78761061946903,2025,5,5,144,2,2025-08-17 08:40:34
145,2025-05-25 00:00:00,207.0,69077.03,333.70545893719805,203.76705014749263,61.06194690265486,2025,5,6,145,2,2025-08-17 08:40:34
146,2025-05-26 00:00:00,220.0,72610.26,330.04663636363637,214.1895575221239,64.89675516224189,2025,5,0,146,2,2025-08-17 08:40:34
147,2025-05-27 00:00:00,249.0,80885.57,324.8416465863454,238.60050147492626,73.45132743362832,2025,5,1,147,2,2025-08-17 08:40:34
148,2025-05-28 00:00:00,235.0,75637.39,321.8612340425532,223.11914454277286,69.32153392330383,2025,5,2,148,2,2025-08-17 08:40:34
149,2025-05-29 00:00:00,222.0,71313.20000000001,321.2306306306307,210.3634218289086,65.48672566371681,2025,5,3,149,2,2025-08-17 08:40:34
150,2025-05-30 00:00:00,203.0,67142.06,330.74906403940884,198.05917404129792,59.882005899705014,2025,5,4,150,2,2025-08-17 08:40:34
151,2025-05-31 00:00:00,152.0,52625.310000000005,346.2191447368421,155.23690265486727,44.83775811209439,2025,5,5,151,2,2025-08-17 08:40:34
152,2025-06-01 00:00:00,141.0,46626.530000000006,330.6846099290781,137.54138643067847,41.5929203539823,2025,6,6,152,2,2025-08-17 08:40:34
153,2025-06-02 00:00:00,147.0,45318.13,308.28659863945575,133.6817994100295,43.36283185840708,2025,6,0,153,2,2025-08-17 08:40:34
154,2025-06-03 00:00:00,164.0,45210.43,275.6733536585366,133.36410029498526,48.37758112094395,2025,6,1,154,2,2025-08-17 08:40:34
155,2025-06-04 00:00:00,186.0,47772.280000000006,256.8402150537635,140.92117994100298,54.86725663716814,2025,6,2,155,2,2025-08-17 08:40:34
156,2025-06-05 00:00:00,243.0,67734.16,278.74139917695476,199.80578171091446,71.68141592920354,2025,6,3,156,2,2025-08-17 08:40:34
157,2025-06-06 00:00:00,265.0,81450.75000000001,307.36132075471704,240.26769911504428,78.17109144542773,2025,6,4,157,2,2025-08-17 08:40:34
158,2025-06-07 00:00:00,256.0,89733.38,350.521015625,264.70023598820063,75.51622418879056,2025,6,5,158,2,2025-08-17 08:40:34
159,2025-06-08 00:00:00,189.0,62896.31999999999,332.78476190476187,185.53486725663714,55.75221238938053,2025,6,6,159,2,2025-08-17 08:40:34
160,2025-06-09 00:00:00,173.0,59343.66,343.026936416185,175.05504424778763,51.03244837758112,2025,6,0,160,2,2025-08-17 08:40:34
161,2025-06-10 00:00:00,154.0,48065.86,312.115974025974,141.787197640118,45.42772861356932,2025,6,1,161,2,2025-08-17 08:40:34
162,2025-06-11 00:00:00,161.0,48096.29,298.7347204968944,141.8769616519174,47.49262536873156,2025,6,2,162,2,2025-08-17 08:40:34
163,2025-06-12 00:00:00,159.0,48441.38,304.66276729559746,142.89492625368732,46.902654867256636,2025,6,3,163,2,2025-08-17 08:40:34
